type,facdor__period,facdor__status,facdor__openPrice,facdor__openNumber,facdor__isGreen,facdor__isRed,facdor__isViolet
3,20200517070,0,178382,2,0,1,0
3,20200517069,0,178387,7,1,0,0
3,20200517068,0,178380,0,0,1,1
3,20200517067,0,178408,8,0,1,0
3,20200517066,0,178425,5,1,0,1
3,20200517065,0,178435,5,1,0,1
3,20200517064,0,178451,1,1,0,0
3,20200517063,0,178452,2,0,1,0
3,20200517062,0,178471,1,1,0,0
3,20200517061,0,178499,9,1,0,0
3,20200517060,0,178512,2,0,1,0
3,20200517059,0,178526,6,0,1,0
3,20200517058,0,178520,0,0,1,1
3,20200517057,0,178520,0,0,1,1
3,20200517056,0,178523,3,1,0,0
3,20200517055,0,178530,0,0,1,1
3,20200517054,0,178535,5,1,0,1
3,20200517053,0,178551,1,1,0,0
3,20200517052,0,178560,0,0,1,1
3,20200517051,0,178578,8,0,1,0
3,20200517050,0,178606,6,0,1,0
3,20200517049,0,178627,7,1,0,0
3,20200517048,0,178659,9,1,0,0
3,20200517047,0,178665,5,1,0,1
3,20200517046,0,178677,7,1,0,0
3,20200517045,0,178689,9,1,0,0
3,20200517044,0,178709,9,1,0,0
3,20200517043,0,178711,1,1,0,0
3,20200517042,0,178727,7,1,0,0
3,20200517041,0,178731,1,1,0,0
3,20200517040,0,178730,0,0,1,1
3,20200517039,0,178737,7,1,0,0
3,20200517038,0,178746,6,0,1,0
3,20200517037,0,178754,4,0,1,0
3,20200517036,0,178785,5,1,0,1
3,20200517035,0,178819,9,1,0,0
3,20200517034,0,178837,7,1,0,0
3,20200517033,0,178834,4,0,1,0
3,20200517032,0,178852,2,0,1,0
3,20200517031,0,178877,7,1,0,0
3,20200517030,0,178885,5,1,0,1
3,20200517029,0,178886,6,0,1,0
3,20200517028,0,178908,8,0,1,0
3,20200517027,0,178911,1,1,0,0
3,20200517026,0,178912,2,0,1,0
3,20200517025,0,178917,7,1,0,0
3,20200517024,0,178945,5,1,0,1
3,20200517023,0,178964,4,0,1,0
3,20200517022,0,178966,6,0,1,0
3,20200517021,0,178976,6,0,1,0
3,20200517020,0,179006,6,0,1,0
3,20200517019,0,179014,4,0,1,0
3,20200517018,0,179026,6,0,1,0
3,20200517017,0,179037,7,1,0,0
3,20200517016,0,179059,9,1,0,0
3,20200517015,0,179063,3,1,0,0
3,20200517014,0,179099,9,1,0,0
3,20200517013,0,179117,7,1,0,0
3,20200517012,0,179132,2,0,1,0
3,20200517011,0,179158,8,0,1,0
3,20200517010,0,179150,0,0,1,1
3,20200517009,0,179162,2,0,1,0
3,20200517008,0,179184,4,0,1,0
3,20200517007,0,179191,1,1,0,0
3,20200517006,0,179211,1,1,0,0
3,20200517005,0,179212,2,0,1,0
3,20200517004,0,179227,7,1,0,0
3,20200517003,0,179236,6,0,1,0
3,20200517002,0,179248,8,0,1,0
3,20200517001,0,179265,5,1,0,1
3,20200516480,0,179289,9,1,0,0
3,20200516479,0,179291,1,1,0,0
3,20200516478,0,179306,6,0,1,0
3,20200516477,0,179302,2,0,1,0
3,20200516476,0,179327,7,1,0,0
3,20200516475,0,179331,1,1,0,0
3,20200516474,0,179334,4,0,1,0
3,20200516473,0,179361,1,1,0,0
3,20200516472,0,179369,9,1,0,0
3,20200516471,0,179378,8,0,1,0
3,20200516470,0,179387,7,1,0,0
3,20200516469,0,179398,8,0,1,0
3,20200516468,0,179409,9,1,0,0
3,20200516467,0,179426,6,0,1,0
3,20200516466,0,179423,3,1,0,0
3,20200516465,0,179428,8,0,1,0
3,20200516464,0,179436,6,0,1,0
3,20200516463,0,179442,2,0,1,0
3,20200516462,0,179458,8,0,1,0
3,20200516461,0,179487,7,1,0,0
3,20200516460,0,179488,8,0,1,0
3,20200516459,0,179504,4,0,1,0
3,20200516458,0,179502,2,0,1,0
3,20200516457,0,179513,3,1,0,0
3,20200516456,0,179512,2,0,1,0
3,20200516455,0,179512,2,0,1,0
3,20200516454,0,179531,1,1,0,0
3,20200516453,0,179548,8,0,1,0
3,20200516452,0,179551,1,1,0,0
3,20200516451,0,179565,5,1,0,1
3,20200516450,0,179588,8,0,1,0
3,20200516449,0,179600,0,0,1,1
3,20200516448,0,179603,3,1,0,0
3,20200516447,0,179625,5,1,0,1
3,20200516446,0,179642,2,0,1,0
3,20200516445,0,179645,5,1,0,1
3,20200516444,0,179652,2,0,1,0
3,20200516443,0,179667,7,1,0,0
3,20200516442,0,179673,3,1,0,0
3,20200516441,0,179681,1,1,0,0
3,20200516440,0,179687,7,1,0,0
3,20200516439,0,179706,6,0,1,0
3,20200516438,0,179707,7,1,0,0
3,20200516437,0,179713,3,1,0,0
3,20200516436,0,179724,4,0,1,0
3,20200516435,0,179733,3,1,0,0
3,20200516434,0,179759,9,1,0,0
3,20200516433,0,179764,4,0,1,0
3,20200516432,0,179781,1,1,0,0
3,20200516431,0,179786,6,0,1,0
3,20200516430,0,179803,3,1,0,0
3,20200516429,0,179818,8,0,1,0
